,geometry,address
0,POINT (-100.445882 39.7837304),"United States of America, United States"
1,POINT (10.4478313 51.1638175),"Deutschland, Deutschland"
2,POINT (1.8883335 46.603354),"France, France"
3,POINT (97.7453061 64.6863136),"Россия, Россия"
4,POINT (12.674297 42.6384261),"Italia, Italia"
5,POINT (104.999927 35.000074),"中国, 中国"
6,POINT (139.2394179 36.5748441),"日本, 日本"
7,POINT (-107.991707 61.0666922),"Canada, Canada"
8,POINT (-3.2765753 54.7023545),"United Kingdom, United Kingdom"
9,POINT (5.6343227 52.2434979),"Nederland, Nederland"
10,POINT (4.6667145 50.6402809),"België - Belgique - Belgien, België / Belgique / Belgien"
11,POINT (-85.0373975 38.8249258),"Switzerland, Indiana, United States"
12,POINT (134.755 -24.7761086),"Australia, Australia"
13,POINT (14.12456 47.59397),"Österreich, Österreich"
14,POINT (14.5208584 59.6749712),"Sverige, Sverige"
15,POINT (10.3333283 55.670249),"Danmark, Danmark"
16,POINT (78.6677428 22.3511148),"India, India"
17,POINT (-4.8379791 39.3260685),"España, España"
18,GEOMETRYCOLLECTION EMPTY,
19,POINT (-53.2 -10.3333333),"Brasil, Brasil"
20,POINT (127.6961188 36.638392),"대한민국, 대한민국"
21,POINT (19.134422 52.215933),"Polska, Polska"
22,POINT (14.8153333 46.1199444),"Slovenija, Slovenija"
23,POINT (8.7876653 61.1529386),"Norge, Norge"
24,POINT (21.9877132 38.9953683),"Ελλάδα, Ελλάς"
25,POINT (19.5060937 47.1817585),"Magyarország, Magyarország"
26,POINT (25.4856617 42.6073975),"Бългaрия, Бългaрия"
27,POINT (34.8594762 30.8124247),"ישראל, ישראל"
28,POINT (54.5643516 32.6475314),"ایران, ایران"
29,POINT (-7.9794599 52.865196),"Ireland, Éire / Ireland"
30,POINT (53.9994829 24.0002488),"الإمارات العربية المتحدة, الإمارات العربية المتحدة"
31,POINT (14.612197134529701 46.190502699999996),"Czech Republic, Slovenija"
32,POINT (25.9209164 63.2467777),"Suomi / Finland, Suomi"
33,POINT (24.6859225 45.9852129),"România, România"
34,POINT (24.991639 -28.8166236),"South Africa, South Africa"
35,POINT (31.2718321 49.4871968),"Україна, Україна"
36,POINT (-102.0077097 23.6585116),"México, México"
37,POINT (-8.1353519 39.6621648),"Portugal, Portugal"
38,POINT (34.9249653 38.9597594),"Türkiye, Türkiye"
