BIOASTRONAUTICS,,,,,,,,,
Title,EID,DOI,Positive?,False? --> Reasoning,Link,Keywords,Provider,Appears on Web of Science?,Notes
Selected discoveries from human research in space that are relevant to human health on Earth.,,10.1038/s41526-020-0095-y,TRUE,,https://www-nature-com.libproxy.berkeley.edu/articles/s41526-020-0095-y,,JHU Human Spaceflight Lab,Yes,
Biomedical findings from NASA’s project mercury: A case series.,,10.1038/s41526-018-0040-5,TRUE,,https://www.jhuhsl.space/wp-content/uploads/2020/11/Carpentier-2018.pdf,,JHU Human Spaceflight Lab,Yes,
Psychological and biological challenges of the Mars mission viewed through the construct of the evolution of fundamental human needs.,,10.1016/j.actaastro.2018.10.008,TRUE,,https://www.jhuhsl.space/wp-content/uploads/2020/11/2018-Psychological-and-biological-challenges-of-the-Mars-mission-viewed-through-the-construct-of-the-evolution-of-fundamental-human-needs-1.pdf,,JHU Human Spaceflight Lab,Yes,
Integrating spaceflight human system risk research.,,10.1016/j.actaastro.2017.07.017,TRUE,,https://www-sciencedirect-com.libproxy.berkeley.edu/science/article/pii/S0094576517300759?via%3Dihub,,JHU Human Spaceflight Lab,Yes,
Why send humans into space? Science and non-science motivations for human space flight.,,"10.1016/j.spacepol.2017.10.001
",TRUE,,https://www-sciencedirect-com.libproxy.berkeley.edu/science/article/pii/S0265964617300346?via%3Dihub,,JHU Human Spaceflight Lab,Yes,
Trends in sensorimotor research and countermeasures for exploration-class space flights.,,"10.3389/fnsys.2015.00115
",TRUE,,https://www.frontiersin.org/articles/10.3389/fnsys.2015.00115/full,,JHU Human Spaceflight Lab,Yes,
A call for research to assess and promote functional resilience in astronaut crews.,,"10.1152/japplphysiol.00717.2015
",TRUE,,https://journals.physiology.org/doi/full/10.1152/japplphysiol.00717.2015,,JHU Human Spaceflight Lab,Yes,
The Impact of Oral Promethazine on Human Whole-Body Motion Perceptual Thresholds.,,10.1007/s10162-017-0622-z,TRUE,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5532182/,,Cornell Bioastronautics & Human Performance,Yes,
Strength of baseline inter-trial correlations forecasts adaptive capacity in the vestibulo-ocular reflex.,,10.1371/journal.pone.0174977,TRUE,,https://www.jhuhsl.space/wp-content/uploads/2020/11/2017-Beaton.pdf,,JHU Human Spaceflight Lab,Yes,
Effects of artificial gravity on the cardiovascular system: Computational approach.,,10.1016/j.actaastro.2016.05.005,TRUE,,https://www.sciencedirect.com/science/article/pii/S009457651530299X,,Cornell Bioastronautics & Human Performance,Yes,
