,Unnamed: 0,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,Discipline,Cleaned Author Keywords,AUTHOR KEYWORDS,AUTHORS
0,0,2-s2.0-85150668580,10.1038/s41467-023-37070-2,,36944638.0,Toward sustainable space exploration: a roadmap for harnessing the power of microorganisms,re,Review,Santomartino R.,60170182;60072546;60031581;60027272;60014340;60012708;60011019;60006288;60004179;60003892;60000221;129393708;129393671;128944298;127131603;124841290;119559805,"Blue Marble Space Institute of Science;Universidad del Valle de Guatemala;California Institute of Technology;The University of Edinburgh;SRM Institute of Science and Technology;Stanford University;Queensland University of Technology;Delft University of Technology;NASA Ames Research Center;Arizona State University;University of Colorado Boulder;Everest Innovation Lab;KBR;Cemvita Factory;ZIN TECHNOLOGIES, INC;Center for the Utilization of Biological Engineering in Space (CUBES);DMEC",Seattle;Guatemala City;Pasadena;Edinburgh;Chennai;Palo Alto;Brisbane;Delft;Moffett Field;Tempe;Boulder;Honolulu;Mountain View;Westminster;Middleburgh Heights;Berkeley;The Haag,United States;Guatemala;United States;United Kingdom;India;United States;Australia;Netherlands;United States;United States;United States;United States;United States;United States;United States;United States;Netherlands,15.0,"Santomartino, Rosa;Averesch, Nils J.H.;Bhuiyan, Marufa;Cockell, Charles S.;Colangelo, Jesse;Gumulya, Yosephine;Lehner, Benjamin;Lopez-Ayala, Ivanna;McMahon, Sean;Mohanty, Anurup;Santa Maria, Sergio R.;Urbaniak, Camilla;Volger, Rik;Yang, Jiseon;Zea, Luis",56993931000;54974731000;58153269000;7004940683;57219795418;25822988400;58153294500;58153276000;50862021300;58153309800;58153309900;55303622900;57208632172;58153310000;35489808000,60027272;60012708-124841290;129393708;60027272;128944298;60011019;119559805;60072546;60027272;60170182-60014340;60004179-129393671;60031581-127131603;60006288;60003892;60000221,2023-03-21,21 March 2023,Nature communications,,19700182758.0,20411723,Journal,14,1,,1391,"Finding sustainable approaches to achieve independence from terrestrial resources is of pivotal importance for the future of space exploration. This is relevant not only to establish viable space exploration beyond low Earth-orbit, but also for ethical considerations associated with the generation of space waste and the preservation of extra-terrestrial environments. Here we propose and highlight a series of microbial biotechnologies uniquely suited to establish sustainable processes for in situ resource utilization and loop-closure. Microbial biotechnologies research and development for space sustainability will be translatable to Earth applications, tackling terrestrial environmental issues, thereby supporting the United Nations Sustainable Development Goals.",,0,1,publisherfullgold,Gold,,undefined,,SBE,,,"Santomartino, Rosa;Averesch, Nils J.H.;Bhuiyan, Marufa;Cockell, Charles S.;Colangelo, Jesse;Gumulya, Yosephine;Lehner, Benjamin;Lopez-Ayala, Ivanna;McMahon, Sean;Mohanty, Anurup;Santa Maria, Sergio R.;Urbaniak, Camilla;Volger, Rik;Yang, Jiseon;Zea, Luis"
1,1,2-s2.0-85150386185,10.1016/j.heliyon.2023.e14683,S240584402301890X,,Turning earthworms into moonworms: Earthworms colonization of lunar regolith as a bioengineering approach supporting future crop growth in space,ar,Article,Romano D.,60136210;60073837;60028039,Gran Sasso Science Institute;Laboratori Nazionali del Gran Sasso;Sant'Anna Scuola Universitaria Superiore Pisa,L'Aquila;Assergi;Pisa,Italy;Italy;Italy,4.0,"Romano, Donato;Di Giovanni, Adriano;Pucciariello, Chiara;Stefanini, Cesare",56487197100;58146986100;6507732731;13605957700,60028039;60136210-60073837;60028039;60028039,2023-03-01,March 2023,Heliyon,24058440,21100411756.0,,Journal,9,3,e14683,,"The earthworms beneficial effects on soils may be promising to improve lunar soil fertility, enabling the use of local substrates for space farming. Herein, we investigated the effects of the lunar regolith simulant (LHS-1) at different concentrations in cow manure mixtures on the survival and fitness of Eisenia fetida. During 14 and 60-day experiments, although E. fetida showed an increased mortality with LHS-1 alone, most of the population survived. More numerous tunnels were observed when exposed to the higher concentrations of LHS-1 (poor in nutrients for earthworms). This may be related to an increased mobility for food search. The cocoons production was not affected by different substrate treatments, except for the highest concentration of LHS-1. No effects of different LHS-1 concentrations on the amount of ingested substrate were recorded. This study shows that E. fetida can potentially colonize lunar regolith representing a future valuable biological tool for supporting crops growth on the Moon.",Bioregenerative life support systems | Earthworms | Ecopoiesis | Lunar regolith | Moon,0,1,publisherfullgold,Gold,H2020,899520,Horizon 2020 Framework Programme,SBE,"['Bioregenerative life support systems ', ' Earthworms ', ' Ecopoiesis ', ' Lunar regolith ', ' Moon']",Bioregenerative life support systems | Earthworms | Ecopoiesis | Lunar regolith | Moon,"Romano, Donato;Di Giovanni, Adriano;Pucciariello, Chiara;Stefanini, Cesare"
2,2,2-s2.0-85149784582,10.26599/JAC.2023.9220700,,,3D-printed Lunar regolith simulant-based geopolymer composites with bio-inspired sandwich architectures,ar,Article,Ma S.,60030637;60019616;60001439;60000481,Max Planck Institute for Polymer Research;Harbin Institute of Technology;Pennsylvania State University;Università degli Studi di Padova,Mainz;Harbin;University Park;Padua,Germany;China;United States;Italy,9.0,"Ma, Siqi;Jiang, Yuqi;Fu, Shuai;He, Peigang;Sun, Chengyue;Duan, Xiaoming;Jia, Dechang;Colombo, Paolo;Zhou, Yu",57222579646;57211144665;57192302909;22234241900;57806793200;25824153500;55506141700;7202984554;7405367625,60019616;60019616;60030637;60019616;60019616;60019616;60019616;60000481-60001439;60019616,2023-03-01,March 2023,Journal of Advanced Ceramics,22264108,21100464567.0,22278508,Journal,12,3,,510-525,"Over time, natural materials have evolved to be lightweight, high-strength, tough, and damage-tolerant due to their unique biological structures. Therefore, combining biological inspiration and structural design would provide traditional materials with a broader range of performance and applications. Here, the application of an ink-based three-dimensional (3D) printing strategy to the structural design of a Lunar regolith simulant-based geopolymer (HIT-LRS-1 GP) was first reported, and high-precision carbon fiber/quartz sand-reinforced biomimetic patterns inspired by the cellular sandwich structure of plant stems were fabricated. This study demonstrated how different cellular sandwich structures can balance the structure–property relationship and how to achieve unprecedented damage tolerance for a geopolymer composite. The results presented that components based on these biomimetic architectures exhibited stable non-catastrophic fracture characteristics regardless of the compression direction, and each structure possessed effective damage tolerance and anisotropy of mechanical properties. The results showed that the compressive strengths of honeycomb sandwich patterns, triangular sandwich patterns, wave sandwich patterns, and rectangular sandwich patterns in the Y-axis (Z-axis) direction were 15.6, 17.9, 11.3, and 20.1 MPa (46.7, 26.5, 23.8, and 34.4 MPa), respectively, and the maximum fracture strain corresponding to the above four structures could reach 10.2%, 6.7%, 5.8%, and 5.9% (12.1%, 13.7%, 13.6%, and 13.9%), respectively.",bio-inspired patterns | damage tolerance | geopolymer (GP) | in situ resource utilization (ISRU) | Lunar regolith simulant (LRS) | three-dimensional (3D) printing,0,1,publisherfullgold,Gold,NSFC,21SYSX0170,Sichuan Province Science and Technology Support Program,SBE,"['bio-inspired patterns ', ' damage tolerance ', ' geopolymer (GP) ', ' in situ resource utilization (ISRU) ', ' Lunar regolith simulant (LRS) ', ' three-dimensional (3D) printing']",bio-inspired patterns | damage tolerance | geopolymer (GP) | in situ resource utilization (ISRU) | Lunar regolith simulant (LRS) | three-dimensional (3D) printing,"Ma, Siqi;Jiang, Yuqi;Fu, Shuai;He, Peigang;Sun, Chengyue;Duan, Xiaoming;Jia, Dechang;Colombo, Paolo;Zhou, Yu"
3,3,2-s2.0-85146141242,10.1098/rstb.2022.0027,,36633284.0,Rethinking nucleic acids from their origins to their applications,ar,Article,Benner S.A.,60007202;113582880,Foundation for Applied Molecular Evolution;Firebird Biomolecular Sciences LLC,Gainesville;Alachua,United States;United States,1.0,"Benner, Steven A.",7102359712,60007202-113582880,2023-02-27,27 February 2023,Philosophical Transactions of the Royal Society B: Biological Sciences,09628436,13602.0,14712970,Journal,378,1871,20220027,,"Reviewed are three decades of synthetic biology research in our laboratory that has generated alternatives to standard DNA and RNA as possible informational systems to support Darwinian evolution, and therefore life, and to understand their natural history, on Earth and throughout the cosmos. From this, we have learned that: the core structure of nucleic acids appears to be a natural outcome of non-biological chemical processes probably in constrained, intermittently irrigated, sub-aerial aquifers on the surfaces of rocky planets like Earth and/or Mars approximately 4.36 ± 0.05 billion years ago; however, this core is not unique. Synthetic biology has generated many different molecular systems able to support the evolution of molecular information; these alternatives to standard DNA and RNA support biotechnology, including DNA synthesis, human diagnostics, biomedical research and medicine; in particular, they support laboratory in vitro evolution (LIVE) with performance to generate catalysts at least 10 4 -10 5 fold better than standard DNA libraries, enhancing access to receptors and catalysts on demand. Coupling nanostructures to the products of LIVE with expanded DNA offers new approaches for disease therapy; and nevertheless, a polyelectrolyte structure and size regular building blocks are required for any informational polymer to support Darwinian evolution. These features serve as universal and agnostic biosignatures, useful for seeking life throughout the Solar System. This article is part of the theme issue 'Reactivity and mechanism in chemical and synthetic biology'.",laboratory in vitro evolution | nucleic acids | origin of life | search for life in the cosmos,2,0,,,NSF,EAR-2213438,National Science Foundation,SBE,"['laboratory in vitro evolution ', ' nucleic acids ', ' origin of life ', ' search for life in the cosmos']",laboratory in vitro evolution | nucleic acids | origin of life | search for life in the cosmos,"Benner, Steven A."
4,4,2-s2.0-85141925036,10.1016/j.bioelechem.2022.108320,S1567539422002717,36401963.0,Food production in space from CO<inf>2</inf> using microbial electrosynthesis,ar,Article,Alvarado K.A.,60011976;128131936;121595840;115293926,University of Alaska Fairbanks;Orbital Farm;Alliance to Feed the Earth in Disasters (ALLFED);School of Business and Engineering Vaud (HEIG-VD),Fairbanks;Toronto;Fairbanks;Canton,United States;Canada;United States;Switzerland,6.0,"Alvarado, Kyle A.;García Martínez, Juan B.;Brown, Michael M.;Christodoulou, Xenia;Bryson, Scot;Denkenberger, David C.",57212383059;57218845028;57278545200;57191595921;57701232400;6504675884,121595840-60011976;121595840;121595840;121595840-115293926;128131936;121595840-60011976,2023-02-01,February 2023,Bioelectrochemistry,15675394,16890.0,1878562X,Journal,149,,108320,,"The current food method in space is launching prepackaged food which is costly and unsustainable. Alternatives include growing crops and microalgae single cell protein (SCP) using artificial light photosynthesis, which are energy inefficient. Prepackaged food and microalgae food were compared to microbial electrosynthesis of acetic acid (MES-AA). Since the dominant cost of a space mission is the cost of launching mass, components of a system were converted to an equivalent mass, including power, heat rejection, and volume. Three-year roundtrip crewed missions were evaluated for the International Space Station, the Moon, and Mars. The average Equivalent System Mass (ESM) of MES-AA is 1.38x and 2.84x lower than prepackaged food and microalgae SCP, respectively. The expected electricity-to-calorie conversion efficiency of MES-AA is 19.8 %, consuming 3.45 kW to fully feed five astronauts; diets would realistically include multiple foods. MES-AA has a higher energy efficiency than any currently investigated resilient food in space. MES-AA can provide diet diversity at a lower cost than customarily storing prepackaged food or growing crops in space. Producing food while contributing to closed loop life support in space can contribute to reducing global catastrophic risk and is relevant in off-grid communities, like in rural Alaska.",Equivalent system mass | Existential risk | Global catastrophic risk | Microbial electrosynthesis | Resilient food | Space food,0,0,,,NASA,80NSSC20M0070,National Aeronautics and Space Administration,SBE,"['Equivalent system mass ', ' Existential risk ', ' Global catastrophic risk ', ' Microbial electrosynthesis ', ' Resilient food ', ' Space food']",Equivalent system mass | Existential risk | Global catastrophic risk | Microbial electrosynthesis | Resilient food | Space food,"Alvarado, Kyle A.;García Martínez, Juan B.;Brown, Michael M.;Christodoulou, Xenia;Bryson, Scot;Denkenberger, David C."
5,5,2-s2.0-85140617211,10.1021/acs.chemrev.2c00491,,36260784.0,"Life in Multi-Extreme Environments: Brines, Osmotic and Hydrostatic Pressure─A Physicochemical View",re,Review,Knop J.M.,60032991;60027272;60017293,Technische Universität Dortmund;The University of Edinburgh;Università degli Studi di Napoli Federico II,Dortmund;Edinburgh;Naples,Germany;United Kingdom;Italy,11.0,"Knop, Jim Marcel;Mukherjee, Sanjib;Jaworek, Michel W.;Kriegler, Simon;Manisegaran, Magiliny;Fetahaj, Zamira;Ostermeier, Lena;Oliva, Rosario;Gault, Stewart;Cockell, Charles S.;Winter, Roland",57200377758;57218387951;57200332522;57216675456;57203135880;57210725708;57218301234;7102411629;57219237130;7004940683;56004686700,60032991;60032991;60032991;60032991;60032991;60032991;60032991;60032991-60017293;60027272;60027272;60032991,2023-01-11,11 January 2023,Chemical Reviews,00092665,23340.0,15206890,Journal,123,1,,73-104,"Elucidating the details of the formation, stability, interactions, and reactivity of biomolecular systems under extreme environmental conditions, including high salt concentrations in brines and high osmotic and high hydrostatic pressures, is of fundamental biological, astrobiological, and biotechnological importance. Bacteria and archaea are able to survive in the deep ocean or subsurface of Earth, where pressures of up to 1 kbar are reached. The deep subsurface of Mars may host high concentrations of ions in brines, such as perchlorates, but we know little about how these conditions and the resulting osmotic stress conditions would affect the habitability of such environments for cellular life. We discuss the combined effects of osmotic (salts, organic cosolvents) and hydrostatic pressures on the structure, stability, and reactivity of biomolecular systems, including membranes, proteins, and nucleic acids. To this end, a variety of biophysical techniques have been applied, including calorimetry, UV/vis, FTIR and fluorescence spectroscopy, and neutron and X-ray scattering, in conjunction with high pressure techniques. Knowledge of these effects is essential to our understanding of life exposed to such harsh conditions, and of the physical limits of life in general. Finally, we discuss strategies that not only help us understand the adaptive mechanisms of organisms that thrive in such harsh geological settings but could also have important ramifications in biotechnological and pharmaceutical applications.",,2,0,,,H2020,801459,Horizon 2020 Framework Programme,SBE,,,"Knop, Jim Marcel;Mukherjee, Sanjib;Jaworek, Michel W.;Kriegler, Simon;Manisegaran, Magiliny;Fetahaj, Zamira;Ostermeier, Lena;Oliva, Rosario;Gault, Stewart;Cockell, Charles S.;Winter, Roland"
6,6,2-s2.0-85150214571,10.1515/eng-2022-0390,,,StarCrete: A starch-based biocomposite for off-world construction,ar,Article,Roberts A.D.,60172343,Faculty of Science and Engineering,Manchester,United Kingdom,2.0,"Roberts, Aled D.;Scrutton, Nigel S.",55623969100;7006621392,60172343;60172343,2023-01-01,1 January 2023,Open Engineering,,21100375904.0,23915439,Journal,13,1,20220390,,"Robust and affordable technology capabilities are needed before a sustained human presence on the lunar and Martian surfaces can be established. A key challenge is the production of high-strength structural materials from in situ resources to provide spacious habitats with adequate radiation shielding. Ideally, the production of such materials will be achieved through relatively simple, low-energy processes that support other critical systems. Here, we demonstrate the use of ordinary starch as a binder for simulated extraterrestrial regolith to produce a high-strength biocomposite material, termed StarCrete. With this technique, surplus starch produced as food for inhabitants could be used for construction, integrating two critical systems and significantly simplifying the architecture needed to sustain early extraterrestrial colonies. After optimisation, lunar and Martian StarCrete achieved compressive strengths of 91.7 and 72.0 MPa, respectively, which is well within the domain of high-strength concrete (>42 MPa) and surpasses most other proposed technology solutions despite being a relatively low-energy process. The flexural strength of the lunar and Martian StarCrete, at 2.1 and 8.4 MPa, respectively, was also comparable to ordinary concrete (2.5-4.5 MPa).",biocomposite | biopolymer-bound soil composites | design of experiments | in situ resource utilisation | space | starch,0,1,publisherfullgold,Gold,UKRI,EP/S01778X/1,UK Research and Innovation,SBE,"['biocomposite ', ' biopolymer-bound soil composites ', ' design of experiments ', ' in situ resource utilisation ', ' space ', ' starch']",biocomposite | biopolymer-bound soil composites | design of experiments | in situ resource utilisation | space | starch,"Roberts, Aled D.;Scrutton, Nigel S."
7,7,2-s2.0-85146348246,10.1007/s11104-022-05860-0,,,Green compost amendment improves potato plant performance on Mars regolith simulant as substrate for cultivation in space,ar,Article,Caporale A.G.,60017293,Università degli Studi di Napoli Federico II,Naples,Italy,11.0,"Caporale, Antonio Giandonato;Paradiso, Roberta;Liuzzi, Greta;Palladino, Mario;Amitrano, Chiara;Arena, Carmen;Arouna, Nafiou;Verrillo, Mariavittoria;Cozzolino, Vincenza;De Pascale, Stefania;Adamo, Paola",36080509900;16175957600;58045815900;7005707005;57202330348;9939125300;57219418214;57201662177;24537143600;56368717900;56652027100,60017293;60017293;60017293;60017293;60017293;60017293;60017293;60017293;60017293;60017293;60017293,2023-01-01,2023,Plant and Soil,0032079X,16574.0,15735036,Journal,,,,,"Background and aims: Higher plants represent an optimal tool to regenerate resources while producing food in Space. However, the configuration of fertile cultivation substrates based on extraterrestrial resources is still a challenge. We evaluated the adaptability of potato (Solanum tuberosum L., cv. ‘Colomba’) to the growth on six substrates: the MMS-1 Mars regolith simulant, alone (R100) and in mixture with 30% in vol. of green compost (R70C30), a fluvial sand, alone or mixed with 30% of compost (S100 and S70C30), a red soil from Sicily (RS), and a volcanic soil from Campania (VS). Methods: We assessed the physicochemical properties of the substrates, and the physiological and biometric parameters of potato plants grown in pot on these substrates, in cold glasshouse. Results: Both R100 and S100 were alkaline (pH ≥ 8.6) and coarse-textured, lacking organic matter and pivotal macronutrients. The amendment with compost significantly lowered their alkaline pH and improved the chemical fertility. The sandy-loam textured VS was sub-alkaline, slightly calcareous, with higher organic C and nutrient availability than RS. This latter was neutral-to-sub-alkaline, clay textured, poorly calcareous, with significantly higher CEC than VS. Leaf CO2 assimilation rate was higher in plants grown in terrestrial soils and S100. Plant growth was greater in VS, R70C30 and S70C30, while it was reduced on R100. Plants produced healthy tubers on all the substrates. Conclusion: MMS-1 regolith simulant was found poor in nutrients and unsuitable to sustain adequately the plant growth. Amendment with organic compost improved MMS-1 physiochemical properties and fertility and plant performance.",Bioregenerative Life Support Systems (BLSSs) | Controlled environment | In situ resource utilization (ISRU) | MMS-1 | Solanum tuberosum L,0,1,publisherhybridgold,Hybrid Gold,ASI,CUP F74I16000000005,Agenzia Spaziale Italiana,SBE,"['Bioregenerative Life Support Systems (BLSSs) ', ' Controlled environment ', ' In situ resource utilization (ISRU) ', ' MMS-1 ', ' Solanum tuberosum L']",Bioregenerative Life Support Systems (BLSSs) | Controlled environment | In situ resource utilization (ISRU) | MMS-1 | Solanum tuberosum L,"Caporale, Antonio Giandonato;Paradiso, Roberta;Liuzzi, Greta;Palladino, Mario;Amitrano, Chiara;Arena, Carmen;Arouna, Nafiou;Verrillo, Mariavittoria;Cozzolino, Vincenza;De Pascale, Stefania;Adamo, Paola"
8,8,2-s2.0-85145857385,10.3390/plants12010064,,,Can Peat Amendment of Mars Regolith Simulant Allow Soybean Cultivation in Mars Bioregenerative Life Support Systems?,ar,Article,Caporale A.G.,60017293,Università degli Studi di Napoli Federico II,Naples,Italy,6.0,"Caporale, Antonio Giandonato;Paradiso, Roberta;Liuzzi, Greta;Arouna, Nafiou;De Pascale, Stefania;Adamo, Paola",36080509900;16175957600;58045815900;57219418214;56368717900;56652027100,60017293;60017293;60017293;60017293;60017293;60017293,2023-01-01,January 2023,Plants,,21100788294.0,22237747,Journal,12,1,64,,"Higher plants will play a key role in human survival in Space, being able to regenerate resources and produce fresh food. However, the creation of a fertile substrate based on extra-terrestrial soils is still a challenge for space cultivation. We evaluated the adaptability of soybean (Glycine max (L.) Merr.) cultivar ‘Pr91M10′ to three substrates, the Mojave Mars regolith Simulant MMS-1, alone (R100), and in a mixture with blond sphagnum peat at two different volumes, 85:15 (R85P15) and 70:30 (R70P30), in plants directly sown on the substrates or transplanted after sowing on peat. The low pH of peat (4.34) allowed the mitigation of the alkalinity of the Mars regolith simulant (pH 8.86), lowering the initial pH to neutral (6.98, R85P15), or subacid to neutral (6.33, R70P30) values. Seed germination reached the highest percentage in the shortest time in the mixture of regolith simulant with 15% of peat. The cultivation substrate did not affect the plant growth and nutritional status. However, a significant interaction between the substrate and planting method was found in several growth parameters, with the highest positive effects observed in plants resulting from direct sowing on the regolith mixture with peat.",bioregenerative life support systems (BLSSs) | controlled environment | Glycine max(L.) Merr | in situ resource utilization (ISRU) | MMS-1,0,1,publisherfullgold,Gold,ASI,F74I16000000005,Agenzia Spaziale Italiana,SBE,"['bioregenerative life support systems (BLSSs) ', ' controlled environment ', ' Glycine max(L.) Merr ', ' in situ resource utilization (ISRU) ', ' MMS-1']",bioregenerative life support systems (BLSSs) | controlled environment | Glycine max(L.) Merr | in situ resource utilization (ISRU) | MMS-1,"Caporale, Antonio Giandonato;Paradiso, Roberta;Liuzzi, Greta;Arouna, Nafiou;De Pascale, Stefania;Adamo, Paola"
9,9,2-s2.0-85138454579,10.1016/j.scitotenv.2022.158774,S0048969722058739,36108852.0,A molecular study of Italian ryegrass grown on Martian regolith simulant,ar,Article,Berni R.,60105942;60000964,Luxembourg Institute of Science and Technology;Université de Liège,Esch-sur-Alzette;Liege,Luxembourg;Belgium,6.0,"Berni, Roberto;Leclercq, Céline C.;Roux, Philippe;Hausman, Jean Francois;Renaut, Jenny;Guerriero, Gea",57202645025;55239979500;57898906000;7006286375;8731903100;25925874100,60105942;60105942;60000964;60105942;60105942;60105942,2023-01-01,1 January 2023,Science of the Total Environment,00489697,25349.0,18791026,Journal,854,,158774,,"In the last decade, the exploration of deep space has become the objective of the national space programs of many countries. The International Space Exploration Coordination Group has set a roadmap whose long-range strategy envisions the expansion of human presence in the solar system to progress with exploration and knowledge and to accelerate innovation. Crewed missions to Mars could be envisaged by 2040. In this scenario, finding ways to use the local resources for the provision of food, construction materials, propellants, pharmaceuticals is needed. Plants are important resources for deep space manned missions because they produce phytochemicals of pharmaceutical relevance, are sources of food and provide oxygen which is crucial in bioregenerative life support systems. Growth analysis and plant biomass yield have been previously evaluated on Martian regolith simulants; however, molecular approaches employing gene expression analysis and proteomics are still missing. The present work aims at filling this gap by providing molecular data on a representative member of the Poaceae, Lolium multiflorum Lam., grown on potting soil and a Martian regolith simulant (MMS-1). The molecular data were complemented with optical microscopy of root/leaf tissues and physico-chemical analyses. The results show that the plants grew for 2 weeks on regolith simulants. The leaves were bent downwards and chlorotic, the roots developed a lacunar aerenchyma and small brownish deposits containing Fe were observed. Gene expression analysis and proteomics revealed changes in transcripts related to the phenylpropanoid pathway, stress response, primary metabolism and proteins involved in translation and DNA methylation. Additionally, the growth of plants slightly but significantly modified the pH of the regolith simulants. The results here presented constitute a useful resource to get a comprehensive understanding of the major factors impacting the growth of plants on MMS-1.",In situ resource utilization | Lolium multiflorum | Martian regolith simulants | Microscopy | Proteomics | qPCR,0,1,publisherhybridgold,Hybrid Gold,,undefined,,SBE,"['In situ resource utilization ', ' Lolium multiflorum ', ' Martian regolith simulants ', ' Microscopy ', ' Proteomics ', ' qPCR']",In situ resource utilization | Lolium multiflorum | Martian regolith simulants | Microscopy | Proteomics | qPCR,"Berni, Roberto;Leclercq, Céline C.;Roux, Philippe;Hausman, Jean Francois;Renaut, Jenny;Guerriero, Gea"
